 mean energy  [keV], unc, intensity beta %, unc,daughter level energy  [keV],energy EC  [keV], unc, intensity EC, unc, log ft, unc, transition type, parent Z, N, symbol, parent energy  [keV] , unc, jp, half-life operator, half_life, unc,unit, half_life [s], unc, decay, decay %, unc,isospin,magnetic dipole [mu N], unc,electric quadrupole [b] , unc,Q , unc, Z,N, symbol ,Extraction date
, , , ,2876.754,1001,12,2.33,0.25,6.24,0.05,A,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3064.68,813,12,7.7,0.3,5.537,0.023,A,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3121.56,756,12,43.8,1.1,4.717,0.02,A,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3239.517,638,12,4.10,0.13,5.593,0.023,A,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,2539.632,1338,12,0.6,0.4,7.9,0.3,1U,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3187.30,691,12,29.6,1.2,4.806,0.025,A,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,2659.792,1218,12,1.74,0.15,7.28,0.05,1U,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3275.32,603,12,0.33,0.03,6.64,0.05,A,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3525.22,353,12,4.21,0.14,5.04,0.04,A,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
174.6,5.3,0.008,0.009,2479.896,1398,12,1.8,1.9,6.7,0.5,A,49,61,In,0, ,7+, ,4.92,8,h,17712,288,EC+B+,100, , ,4.713, ,1, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3314.44,626,12,0.817,0.015,5.645,0.02,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3403.31,537,12,0.110,0.004,6.38,0.03,1NU,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,2975.26,965,12,1.396,0.022,5.8,0.014, ,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3101.90,838,12,0.67,0.06,5.99,0.05,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3466.42,474,12,0.507,0.013,5.6,0.03, ,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3078.38,862,12,0.920,0.014,5.881,0.015,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3193.43,747,12,0.383,0.008,6.133,0.018,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3771.77,168,12,0.0788,0.0021,5.42,0.08,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3634.68,305,12,0.058,0.006,6.13,0.06,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3128.41,812,12,0.075,0.006,6.92,0.04, ,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,2787.24,1153,12,2.58,0.12,5.692,0.023,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3475.420,465,12,0.812,0.02,5.38,0.03,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3726.58,214,12,0.0039,0.001,6.96,0.13, ,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,3208.69,731,12,0.041,0.003,7.08,0.04, ,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
, , , ,2869.17,1071,12,1.86,0.04,5.769,0.014, ,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
134.9,5.3,0.00029,0.00005,2633.06,1307,12,0.200,0.005,6.914,0.014,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
202.6,5.2,0.00082,0.0001,2477.40,1463,12,0.098,0.006,7.32,0.03,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
221.8,5.2,0.00062,0.0001,2433.09,1507,12,0.051,0.007,7.63,0.06,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
255.3,5.2,0.0039,0.0007,2355.81,1584,12,0.19,0.03,7.11,0.07,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
284.9,5.2,0.002,0.0002,2287.44,1653,12,0.063,0.006,7.62,0.04,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
339,5.3,0.004, ,2162.80,1777,12,0.07, ,7.7, ,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
375.7,5.3,0.014,0.007,2078.84,1861,12,0.16,0.07,7.33,0.21,1NU,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
505.5,5.4,0.236,0.016,1783.537,2157,12,0.93,0.06,6.69,0.03,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
642.7,5.4,0.3,0.05,1475.775,2464,12,0.55,0.08,7.04,0.07,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26
1014.7,5.6,60.7,0.4,657.792,3282,12,26.5,0.4,5.6,0.009,A,49,61,In,62.08,0.04,2+, ,69.1,5,m,4146,30,EC+B+,100, , ,4.365, ,0.35, ,3878,12,48,62,Cd,
,2021-04-26

